chromosome	location	beta_diet	se_beta_diet	pvalue	info
chr10	1010583	-0.243	0.224	0.265662729	chr10_1010583
chr10	1010587	-0.2004	0.2267	0.364080181	chr10_1010587
chr10	1010606	0.2703	0.1838	0.134625396	chr10_1010606
chr10	1010626	-0.1303	0.2077	0.521306381	chr10_1010626
chr10	1010637	-0.3296	0.2872	0.230875041	chr10_1010637
chr10	1010646	0.06426	0.4635	0.87566862	chr10_1010646
chr10	10119274	-1.3	0.5853	0.006156723	chr10_10119274
chr10	1012272	-0.3119	0.2034	0.117308511	chr10_1012272
chr10	1012369	-0.3007	0.4371	0.444342797	chr10_1012369
chr10	1012395	-0.2323	0.5964	0.627499341	chr10_1012395
chr10	1012520	0.3056	0.3052	0.293038894	chr10_1012520
chr10	1012549	0.6901	0.4352	0.078197075	chr10_1012549
chr10	1012631	0.3292	0.3604	0.327463236	chr10_1012631
chr10	1012634	0.02523	0.2509	0.917263923	chr10_1012634
chr10	1012663	-0.3424	0.4149	0.364401152	chr10_1012663
chr10	1012683	0.01906	0.1544	0.900567987	chr10_1012683
chr10	1012711	0.02892	0.2748	0.912842406	chr10_1012711
chr10	1012716	-0.05623	0.2976	0.843113787	chr10_1012716
chr10	1014035	0.9509	0.7417	0.055949745	chr10_1014035
chr10	1014039	0.1261	0.6567	0.799018096	chr10_1014039
chr10	10149064	-0.8653	0.5726	0.065289592	chr10_10149064
chr10	10158803	0.1848	0.2138	0.376254546	chr10_10158803
chr10	10160551	0.3452	0.3351	0.274237853	chr10_10160551
chr10	10163130	-0.2079	0.3853	0.558732375	chr10_10163130
chr10	10163159	-0.3607	0.288	0.19092645	chr10_10163159
chr10	10163175	-0.1534	0.2225	0.479463993	chr10_10163175
chr10	10163305	-0.02129	0.493	0.960412633	chr10_10163305
chr10	1017745	0.0607	0.268	0.814136958	chr10_1017745
chr10	1018245	-0.2169	0.2233	0.319006838	chr10_1018245
chr10	1018267	-0.03639	0.1768	0.834354482	chr10_1018267
chr10	1018272	-0.417	0.1686	0.012099455	chr10_1018272
chr10	1018284	-0.009061	0.2043	0.963862572	chr10_1018284
chr10	1018316	0.03794	0.2591	0.879496705	chr10_1018316
chr10	10184344	0.2857	0.8344	0.534442339	chr10_10184344
chr10	10184386	0.2478	0.8714	0.562137966	chr10_10184386
chr10	1018504	0.5508	0.444	0.166208326	chr10_1018504
chr10	1018513	-0.1018	0.4439	0.798006513	chr10_1018513
chr10	1018591	0.0591	0.4711	0.886904729	chr10_1018591
chr10	10187417	-1.016	0.5908	0.03305109	chr10_10187417
chr10	1018933	0.2028	0.7433	0.683380802	chr10_1018933
chr10	1018962	0.03821	0.3202	0.899760692	chr10_1018962
chr10	1019013	-0.5175	0.4724	0.213905762	chr10_1019013
chr10	1019063	-0.1609	0.3739	0.642660617	chr10_1019063
chr10	1019086	0.412	0.4639	0.316091187	chr10_1019086
chr10	1019158	-0.2446	0.4449	0.539288973	chr10_1019158
chr10	1019184	-0.5537	0.4605	0.175557649	chr10_1019184
chr10	1019265	0.0007362	0.2659	0.997708396	chr10_1019265
chr10	1019357	-0.6626	0.6139	0.171529543	chr10_1019357
chr10	1019892	0.1348	0.2561	0.586086199	chr10_1019892
chr10	1019896	-0.3984	0.4318	0.306342077	chr10_1019896
chr10	1019924	0.1678	0.3581	0.61576154	chr10_1019924
chr10	1019938	-0.9614	0.5459	0.035556726	chr10_1019938
chr10	10200326	-0.1469	0.6723	0.767868611	chr10_10200326
chr10	1020038	-0.2714	0.1882	0.142017126	chr10_1020038
chr10	10200427	-0.02316	0.7416	0.962869432	chr10_10200427
chr10	10200473	-0.201	0.8633	0.644564174	chr10_10200473
chr10	1020058	0.136	0.2423	0.562908396	chr10_1020058
chr10	1020075	-0.294	0.2074	0.147321209	chr10_1020075
chr10	1020080	-0.1637	0.3089	0.577394311	chr10_1020080
chr10	1020096	0.2576	0.2427	0.273908983	chr10_1020096
chr10	1020101	-0.2564	0.2792	0.338885282	chr10_1020101
chr10	1020105	-0.04855	0.2667	0.850186011	chr10_1020105
chr10	1020181	0.01069	0.1803	0.951934282	chr10_1020181
chr10	1020198	0.1817	0.1919	0.334655909	chr10_1020198
chr10	1020224	-0.1716	0.1784	0.328289284	chr10_1020224
chr10	1020249	0.07776	0.3004	0.786091524	chr10_1020249
chr10	1020359	0.3555	0.2882	0.197684926	chr10_1020359
chr10	1020361	0.1779	0.2876	0.518373649	chr10_1020361
chr10	1021105	-0.0477	0.2104	0.81661408	chr10_1021105
chr10	10221804	0.3156	0.357	0.34394612	chr10_10221804
chr10	10231316	-0.1345	0.7052	0.78792668	chr10_10231316
chr10	10231329	0.09743	0.7181	0.8454276	chr10_10231329
chr10	10231349	-0.0175	0.5897	0.970688306	chr10_10231349
chr10	1023920	-0.3566	0.4029	0.333520988	chr10_1023920
chr10	1024137	0.1489	0.3526	0.651791304	chr10_1024137
chr10	1024232	-0.5576	0.4834	0.187610969	chr10_1024232
chr10	1024589	0.5931	0.349	0.069762159	chr10_1024589
chr10	1024595	0.26	0.3196	0.390591366	chr10_1024595
chr10	1024675	0.2542	0.2209	0.238042173	chr10_1024675
chr10	1024812	-0.01969	0.2714	0.939913193	chr10_1024812
chr10	1024954	-0.2602	0.3243	0.396335377	chr10_1024954
chr10	1024958	-0.09078	0.3091	0.757462919	chr10_1024958
chr10	1024966	0.3138	0.4605	0.442680921	chr10_1024966
chr10	10251604	0.0194	0.506	0.964545422	chr10_10251604
chr10	10251705	0.4793	0.4666	0.24548087	chr10_10251705
chr10	10258321	-0.4521	0.5225	0.310198483	chr10_10258321
chr10	1027681	0.733	0.4915	0.086809818	chr10_1027681
chr10	1027686	0.4	0.5615	0.389291233	chr10_1027686
chr10	1027798	0.3731	0.4627	0.36304538	chr10_1027798
chr10	1028907	-0.3934	0.6844	0.430476968	chr10_1028907
chr10	1028970	0.6037	0.5723	0.198319962	chr10_1028970
chr10	10289857	-0.05408	0.3189	0.857996669	chr10_10289857
chr10	10289866	-0.1169	0.3068	0.688908601	chr10_10289866
chr10	10289963	0.1476	0.2702	0.570465791	chr10_10289963
chr10	1029026	0.2963	0.6416	0.54712511	chr10_1029026
chr10	1029098	0.2536	0.684	0.611277066	chr10_1029098
chr10	1029153	-0.111	0.3678	0.745526712	chr10_1029153
chr10	1029340	-0.5528	0.563	0.234808632	chr10_1029340
chr10	1029348	0.2383	0.682	0.63281843	chr10_1029348
chr10	1029364	0.5226	0.5936	0.273964169	chr10_1029364
chr10	10293987	-0.1282	0.8095	0.787360746	chr10_10293987
chr10	10294120	1.369	0.8017	0.004278544	chr10_10294120
chr10	1029457	0.446	0.8652	0.303930249	chr10_1029457
chr10	1029791	0.2286	0.3449	0.480107729	chr10_1029791
chr10	1029864	0.2803	0.7365	0.573687073	chr10_1029864
chr10	1029874	0.3886	0.378	0.266813767	chr10_1029874
chr10	10303237	-0.04951	0.5076	0.909867284	chr10_10303237
chr10	10304200	0.3151	0.3875	0.377734449	chr10_10304200
chr10	10304249	0.1975	0.3244	0.519819651	chr10_10304249
chr10	1030623	-0.003765	0.2985	0.989455809	chr10_1030623
chr10	1030759	0.1045	0.5789	0.824794808	chr10_1030759
chr10	10313348	-0.161	0.4205	0.673024957	chr10_10313348
chr10	10313376	0.5605	0.6003	0.243027379	chr10_10313376
chr10	1031364	0.2419	0.4254	0.529788352	chr10_1031364
chr10	1031410	0.1762	0.3183	0.559263153	chr10_1031410
chr10	1031430	-0.1195	0.4959	0.781395627	chr10_1031430
chr10	1031433	-0.2084	0.5553	0.65180026	chr10_1031433
chr10	1031439	-0.1354	0.5226	0.761212374	chr10_1031439
chr10	1031539	-0.182	0.5611	0.695160304	chr10_1031539
chr10	1031549	-0.3643	0.4531	0.367104465	chr10_1031549
chr10	1031557	-0.5231	0.4343	0.181171998	chr10_1031557
chr10	1031585	0.8066	0.4841	0.056886295	chr10_1031585
chr10	1031600	0.1614	0.393	0.655147292	chr10_1031600
chr10	1031618	-0.2191	0.5737	0.641021162	chr10_1031618
chr10	1031657	-0.1789	0.3002	0.532133888	chr10_1031657
chr10	1031699	-0.06731	0.2643	0.791731642	chr10_1031699
chr10	1031710	-0.05749	0.2177	0.786723008	chr10_1031710
chr10	1031749	-0.1923	0.1944	0.313245135	chr10_1031749
chr10	1032661	0.3547	0.7356	0.476582605	chr10_1032661
chr10	1032685	0.2198	0.6337	0.653884088	chr10_1032685
chr10	1032718	0.01919	0.5536	0.966798182	chr10_1032718
chr10	1032729	0.3567	0.4045	0.334928191	chr10_1032729
chr10	1032738	0.3333	0.485	0.431969072	chr10_1032738
chr10	1032767	0.2284	0.3126	0.441777864	chr10_1032767
chr10	1032772	-0.2789	0.3033	0.334540708	chr10_1032772
chr10	1032801	-0.1769	0.2114	0.391913923	chr10_1032801
chr10	1034303	-0.06749	0.2452	0.776477965	chr10_1034303
chr10	10344491	1.474	0.5524	0.00136912	chr10_10344491
chr10	10344574	-0.3369	0.4746	0.419968783	chr10_10344574
chr10	10344600	0.1724	0.5867	0.716708243	chr10_10344600
chr10	1034498	-0.3304	0.2144	0.114626852	chr10_1034498
chr10	1034539	0.3323	0.7108	0.506283048	chr10_1034539
chr10	1034554	0.1686	0.7753	0.730612725	chr10_1034554
chr10	1034614	0.4614	0.6973	0.355928892	chr10_1034614
chr10	1034705	0.1538	0.7196	0.758237843	chr10_1034705
chr10	1034839	-0.1233	0.3102	0.675866458	chr10_1034839
chr10	1034949	0.1832	0.2161	0.385245523	chr10_1034949
chr10	1035013	-0.04847	0.2391	0.834624646	chr10_1035013
chr10	1035022	-0.05498	0.1887	0.766701598	chr10_1035022
chr10	10350427	0.2752	0.5236	0.537288822	chr10_10350427
chr10	10350448	-0.5964	0.7608	0.227085144	chr10_10350448
chr10	1035047	0.2351	0.2625	0.353320404	chr10_1035047
chr10	1035079	-0.1197	0.3378	0.706558528	chr10_1035079
chr10	10355783	-0.7345	0.3199	0.015377036	chr10_10355783
chr10	1036049	0.1824	0.1777	0.296925363	chr10_1036049
chr10	1036081	0.05292	0.2778	0.842808674	chr10_1036081
chr10	103664	-0.2559	0.4736	0.539549258	chr10_103664
chr10	103670	-0.3115	0.388	0.38371284	chr10_103670
chr10	1036807	0.7893	0.7115	0.114399689	chr10_1036807
chr10	1036814	0.2758	0.5186	0.533945047	chr10_1036814
chr10	1036865	-0.2714	0.2664	0.290527668	chr10_1036865
chr10	1036924	0.5465	0.367	0.109420477	chr10_1036924
chr10	103704	0.9676	0.549	0.034972692	chr10_103704
chr10	103716	0.1328	0.8056	0.780828058	chr10_103716
chr10	10374104	0.03805	0.4868	0.928699053	chr10_10374104
chr10	103748	0.3213	0.6935	0.520180437	chr10_103748
chr10	10379314	0.6479	0.867	0.133704202	chr10_10379314
chr10	1038205	-0.0285	0.7358	0.954388732	chr10_1038205
chr10	1038250	0.2329	0.6948	0.64115999	chr10_1038250
chr10	1038278	0.07879	0.4806	0.851702529	chr10_1038278
chr10	1038317	0.3694	0.392	0.305679962	chr10_1038317
chr10	1038360	-0.4438	0.2808	0.099611763	chr10_1038360
chr10	1038372	-0.3394	0.4312	0.383003925	chr10_1038372
chr10	1038399	0.1602	0.3425	0.618591065	chr10_1038399
chr10	1038479	-0.2868	0.3801	0.414634433	chr10_1038479
chr10	1038518	-0.1745	0.2156	0.407182168	chr10_1038518
chr10	1038685	0.4678	0.3151	0.117748149	chr10_1038685
chr10	1038701	0.3818	0.4963	0.375548693	chr10_1038701
chr10	1038808	-0.2701	0.71	0.589046589	chr10_1038808
chr10	10389113	-0.698	0.8194	0.137263115	chr10_10389113
chr10	10389145	0.05639	0.7935	0.907039513	chr10_10389145
chr10	1038920	-0.2783	0.573	0.553431855	chr10_1038920
chr10	10389236	-0.006002	0.4283	0.98762695	chr10_10389236
chr10	10389279	-0.09727	0.4209	0.798903845	chr10_10389279
chr10	10389373	-0.6363	0.4351	0.104327973	chr10_10389373
chr10	1039181	-0.4347	0.4551	0.283406073	chr10_1039181
chr10	1039247	-0.1301	0.5545	0.777989601	chr10_1039247
chr10	1039573	-0.1514	0.2595	0.545760459	chr10_1039573
chr10	1039604	-0.2928	0.3519	0.37405066	chr10_1039604
chr10	1039629	-0.4664	0.638	0.342442326	chr10_1039629
chr10	1039666	0.09876	0.3716	0.774672489	chr10_1039666
chr10	1039744	0.09283	0.2614	0.712933957	chr10_1039744
chr10	1040318	1.28	0.6178	0.008417686	chr10_1040318
chr10	1040337	0.6446	0.5957	0.177912698	chr10_1040337
chr10	1040443	-0.00527	0.5054	0.990358339	chr10_1040443
chr10	1040653	-0.5107	0.8247	0.273550824	chr10_1040653
chr10	1040657	-0.3143	0.8615	0.472443011	chr10_1040657
chr10	1040679	-0.551	0.8593	0.209960118	chr10_1040679
chr10	1040726	0.02655	0.7047	0.957651254	chr10_1040726
chr10	1042101	-0.4663	0.3789	0.183576778	chr10_1042101
chr10	1042164	0.3246	0.2923	0.245553614	chr10_1042164
chr10	1042189	0.0872	0.2201	0.684637329	chr10_1042189
chr10	1042223	-0.1907	0.3092	0.516640308	chr10_1042223
chr10	10423079	0.1684	0.7219	0.736040444	chr10_10423079
chr10	10424941	-0.3661	0.3153	0.22113111	chr10_10424941
chr10	10424988	-0.1347	0.5956	0.778293661	chr10_10424988
chr10	1042545	-0.3142	0.6001	0.512766783	chr10_1042545
chr10	1044196	0.8377	0.8891	0.039544985	chr10_1044196
chr10	1044209	0.08327	0.7137	0.867709001	chr10_1044209
chr10	1044280	-0.01979	0.7485	0.968196334	chr10_1044280
chr10	1044297	0.2352	0.7252	0.637617093	chr10_1044297
chr10	10443785	0.1326	0.4074	0.721543975	chr10_10443785
chr10	10443790	-0.06301	0.6115	0.896386521	chr10_10443790
chr10	10443822	0.09104	0.509	0.835391276	chr10_10443822
chr10	10446531	0.537	0.5981	0.262580263	chr10_10446531
chr10	10451608	-0.5235	0.4673	0.205109932	chr10_10451608
chr10	10451642	0.002904	0.4174	0.993891304	chr10_10451642
chr10	1045206	-0.9653	0.6784	0.052777467	chr10_1045206
chr10	1045299	-0.3362	0.4568	0.408036018	chr10_1045299
chr10	10456181	1.321	0.5722	0.004877499	chr10_10456181
chr10	10456661	-0.003237	0.3832	0.992703131	chr10_10456661
chr10	1045791	-0.2904	0.4035	0.431529106	chr10_1045791
chr10	1045797	0.1264	0.4513	0.753627541	chr10_1045797
chr10	1045825	-0.02435	0.4512	0.951779177	chr10_1045825
chr10	1045870	-0.3295	0.2982	0.247014493	chr10_1045870
chr10	1045922	0.6624	0.6598	0.181542718	chr10_1045922
chr10	1045955	0.126	0.4964	0.76998354	chr10_1045955
chr10	104611	0.3365	0.2764	0.205230674	chr10_104611
chr10	104620	0.4414	0.2697	0.089203649	chr10_104620
chr10	1046272	-0.6201	0.7786	0.204380874	chr10_1046272
chr10	1046289	-0.003155	0.2034	0.987360056	chr10_1046289
chr10	1046359	-0.00158	0.245	0.994692748	chr10_1046359
chr10	1046373	-0.03596	0.2409	0.877765016	chr10_1046373
chr10	1046382	0.0822	0.354	0.803917229	chr10_1046382
chr10	104643	-0.06011	0.1979	0.75666152	chr10_104643
chr10	1046949	0.001778	0.6555	0.997134246	chr10_1046949
chr10	104699	-0.2853	0.3694	0.405906921	chr10_104699
chr10	1047040	-0.2841	0.532	0.528251457	chr10_1047040
chr10	1047049	-0.1417	0.4466	0.722877902	chr10_1047049
chr10	1047066	-0.6122	0.4098	0.10147747	chr10_1047066
chr10	10471260	0.0895	0.3484	0.78403884	chr10_10471260
chr10	1047283	0.2119	0.6852	0.671135047	chr10_1047283
chr10	1047334	0.2752	0.6622	0.579161364	chr10_1047334
chr10	1047353	0.5298	0.5736	0.259497693	chr10_1047353
chr10	10474375	0.3496	0.7241	0.483909427	chr10_10474375
chr10	1047868	0.55	0.6006	0.252071076	chr10_1047868
chr10	1048370	0.1512	0.2526	0.536155706	chr10_1048370
chr10	1048498	-0.1641	0.4856	0.699074353	chr10_1048498
chr10	1048510	0.1601	0.2008	0.415709222	chr10_1048510
chr10	1048534	0.04696	0.1842	0.795343166	chr10_1048534
chr10	1048537	0.1411	0.2294	0.527429272	chr10_1048537
chr10	1048576	-0.2556	0.2477	0.286837515	chr10_1048576
chr10	1048588	0.03851	0.3065	0.894986415	chr10_1048588
chr10	1048939	0.7228	0.4449	0.069668758	chr10_1048939
chr10	1049014	-0.3521	0.2387	0.128767031	chr10_1049014
chr10	10490182	0.1774	0.583	0.708016478	chr10_10490182
chr10	10490190	0.1774	0.554	0.700506472	chr10_10490190
chr10	1049045	-0.2235	0.2917	0.423111218	chr10_1049045
chr10	1049067	-0.3344	0.3758	0.336945381	chr10_1049067
chr10	1049106	0.4288	0.5821	0.364962542	chr10_1049106
chr10	1049117	-0.2871	0.4189	0.450379832	chr10_1049117
chr10	1049147	-0.277	0.2871	0.313827077	chr10_1049147
chr10	1049239	-0.8876	0.6239	0.06869545	chr10_1049239
chr10	1049244	-1.62	0.6051	0.000771731	chr10_1049244
chr10	1049260	0.3495	0.6611	0.481055451	chr10_1049260
chr10	1050090	-0.09953	0.2519	0.683065993	chr10_1050090
chr10	1050113	-0.1977	0.2372	0.390914937	chr10_1050113
chr10	1050273	-0.6516	0.7962	0.176173414	chr10_1050273
chr10	1050276	-0.6651	0.5028	0.125943406	chr10_1050276
chr10	10503724	0.01085	0.2821	0.968021546	chr10_10503724
chr10	10503749	-0.003219	0.4309	0.993394881	chr10_10503749
chr10	1050555	-0.08128	0.1971	0.67402466	chr10_1050555
chr10	1050593	-0.1577	0.2249	0.471748966	chr10_1050593
chr10	1050624	-0.2731	0.256	0.269779092	chr10_1050624
chr10	1050659	-0.4787	0.3895	0.182074992	chr10_1050659
chr10	1050671	-0.3662	0.2099	0.07436008	chr10_1050671
chr10	1050687	-0.473	0.2968	0.095144057	chr10_1050687
chr10	1050693	-0.01829	0.3837	0.958832728	chr10_1050693
chr10	1050718	-0.3646	0.3863	0.306185727	chr10_1050718
chr10	10512584	0.2641	0.8146	0.576190823	chr10_10512584
chr10	10518685	-1.53	0.7181	0.002202285	chr10_10518685
chr10	1051879	-0.327	0.3307	0.294747804	chr10_1051879
chr10	1051905	-0.1668	0.3059	0.566826938	chr10_1051905
chr10	1051963	0.07065	0.2221	0.744236448	chr10_1051963
chr10	1052361	-0.3601	0.403	0.3288949	chr10_1052361
chr10	1052385	-0.815	0.3765	0.019459455	chr10_1052385
chr10	1052404	-0.4677	0.6076	0.332464669	chr10_1052404
chr10	1052512	-0.09316	0.3731	0.787833507	chr10_1052512
chr10	10526258	0.7409	0.8203	0.114286667	chr10_10526258
chr10	1052669	-0.1018	0.4739	0.807272987	chr10_1052669
chr10	1052729	0.2307	0.1887	0.21315338	chr10_1052729
chr10	1052749	-0.2228	0.2646	0.38258342	chr10_1052749
chr10	1052759	-0.3093	0.3249	0.314129621	chr10_1052759
chr10	1052765	-0.4752	0.1807	0.007499978	chr10_1052765
chr10	1052832	-0.684	0.2192	0.001382793	chr10_1052832
chr10	1052865	-0.1932	0.3613	0.566323756	chr10_1052865
chr10	1052911	-0.002615	0.278	0.992186853	chr10_1052911
chr10	10533079	-0.2577	0.2671	0.316739171	chr10_10533079
chr10	10535418	0.7676	0.7804	0.115707059	chr10_10535418
chr10	10536953	0.7162	0.4725	0.085457516	chr10_10536953
chr10	10546586	-0.2645	0.901	0.498600219	chr10_10546586
chr10	10547304	0.6561	0.9137	0.077236721	chr10_10547304
chr10	10547341	0.2982	0.8976	0.451056518	chr10_10547341
chr10	10547348	0.07111	0.8221	0.879245343	chr10_10547348
chr10	10547362	-0.1368	0.8136	0.772436912	chr10_10547362
chr10	10547382	-0.1878	0.8525	0.673440668	chr10_10547382
chr10	1055363	-0.008921	0.4305	0.98168312	chr10_1055363
chr10	1055400	-0.2023	0.4088	0.587651841	chr10_1055400
chr10	1055522	-0.2103	0.2758	0.427616891	chr10_1055522
chr10	1055619	-0.1957	0.6925	0.69525951	chr10_1055619
chr10	1055705	0.2236	0.5526	0.627326546	chr10_1055705
chr10	1055721	0.07152	0.3928	0.843051992	chr10_1055721
chr10	1055724	0.8338	0.42	0.028703704	chr10_1055724
chr10	10559762	-1.216	0.9192	0.000781206	chr10_10559762
chr10	105613	-0.5315	0.5218	0.232465825	chr10_105613
chr10	105616	0.1937	0.4006	0.59769395	chr10_105616
chr10	10562554	0.4569	0.5722	0.330234638	chr10_10562554
chr10	1056963	0.2122	0.6619	0.668877639	chr10_1056963
chr10	10581990	-0.6014	0.8234	0.19805536	chr10_10581990
chr10	10586191	0.7659	0.876	0.069868592	chr10_10586191
chr10	10586271	-0.04085	0.8589	0.926009814	chr10_10586271
chr10	10588307	-0.1907	0.8127	0.687164194	chr10_10588307
chr10	10594919	-1.177	0.6808	0.018260095	chr10_10594919
chr10	1059645	0.01029	0.2791	0.969373375	chr10_1059645
chr10	10602972	0.1527	0.8275	0.742412153	chr10_10602972
chr10	1061673	-0.3691	0.5456	0.41952898	chr10_1061673
chr10	1061699	-0.2056	0.8601	0.639359531	chr10_1061699
chr10	10617254	-0.3315	0.5454	0.468354505	chr10_10617254
chr10	10617268	-0.7161	0.4847	0.091203348	chr10_10617268
chr10	10617279	-0.2357	0.455	0.560751289	chr10_10617279
chr10	10617283	-0.337	0.4497	0.401462559	chr10_10617283
chr10	10617292	-0.5227	0.528	0.243736732	chr10_10617292
chr10	10617298	-0.2684	0.4671	0.515782543	chr10_10617298
chr10	10617315	-0.1116	0.5315	0.804224543	chr10_10617315
chr10	10617353	0.1879	0.3438	0.560555405	chr10_10617353
chr10	10617359	0.4223	0.4249	0.27223967	chr10_10617359
chr10	10617416	-1.408	0.7349	0.004726731	chr10_10617416
chr10	10617426	-0.3944	0.6694	0.427728479	chr10_10617426
chr10	10617429	-0.3474	0.6292	0.477475305	chr10_10617429
chr10	1061743	0.3139	0.3184	0.298343762	chr10_1061743
chr10	10617479	0.0563	0.4117	0.880719471	chr10_10617479
chr10	10617501	0.4326	0.293	0.122534397	chr10_10617501
chr10	10617515	0.03872	0.3351	0.902393584	chr10_10617515
chr10	10617524	0.0191	0.3305	0.951174363	chr10_10617524
chr10	10617554	0.1056	0.526	0.813390611	chr10_10617554
chr10	10617570	-0.009273	0.4236	0.98072004	chr10_10617570
chr10	10617572	0.1828	0.4697	0.659329218	chr10_10617572
chr10	1061781	0.2063	0.2997	0.470589141	chr10_1061781
chr10	1061788	0.01602	0.2854	0.953296468	chr10_1061788
chr10	1061797	0.3833	0.2528	0.117086483	chr10_1061797
chr10	10619990	0.3268	0.3806	0.353135165	chr10_10619990
chr10	10622847	0.987	0.789	0.041742834	chr10_10622847
chr10	10649800	-0.4273	0.3327	0.173221418	chr10_10649800
chr10	10649824	-0.1538	0.4149	0.683704615	chr10_10649824
chr10	10649847	0.0443	0.2605	0.860184756	chr10_10649847
chr10	10649893	-0.5323	0.6868	0.286283503	chr10_10649893
chr10	10650058	-0.3514	0.281	0.192562458	chr10_10650058
chr10	10661941	-1.16	0.841	0.010791108	chr10_10661941
chr10	10662872	-0.01489	0.4574	0.970798018	chr10_10662872
chr10	10662885	-0.08501	0.429	0.826361318	chr10_10662885
chr10	10664575	-0.3834	0.7873	0.429631561	chr10_10664575
chr10	10664589	0.2112	0.6892	0.672346965	chr10_10664589
chr10	10666091	-0.01295	0.6594	0.979159236	chr10_10666091
chr10	1067463	-0.3415	0.3958	0.347456134	chr10_1067463
chr10	1067469	0.2216	0.709	0.657616471	chr10_1067469
chr10	10687697	-0.3141	0.8846	0.446422761	chr10_10687697
chr10	10687731	-0.1981	0.9454	0.520265286	chr10_10687731
chr10	10687738	1.039	0.8981	0.008525039	chr10_10687738
chr10	10688591	-0.1867	0.6881	0.708459165	chr10_10688591
chr10	10692663	0.02217	0.2659	0.931076249	chr10_10692663
chr10	10693819	0.09428	0.6352	0.847605357	chr10_10693819
chr10	1069704	-1.33	0.668	0.007461354	chr10_1069704
chr10	10705172	0.1359	0.2606	0.589091627	chr10_10705172
chr10	10705179	-0.2547	0.3004	0.374042822	chr10_10705179
chr10	10705207	0.1004	0.4172	0.791165374	chr10_10705207
chr10	1071054	0.06494	0.3834	0.85448908	chr10_1071054
chr10	1071070	0.2358	0.4482	0.556178219	chr10_1071070
chr10	1071205	-0.6546	0.48	0.120055379	chr10_1071205
chr10	1071234	-0.3311	0.3395	0.299810554	chr10_1071234
chr10	107249	-0.1529	0.4902	0.72044881	chr10_107249
chr10	107283	0.2357	0.4158	0.533090943	chr10_107283
chr10	107305	0.2648	0.5433	0.561545615	chr10_107305
chr10	10749110	0.6329	0.4092	0.090058239	chr10_10749110
chr10	107574	-0.06108	0.5705	0.896281974	chr10_107574
chr10	10757526	0.09615	0.9305	0.777865578	chr10_10757526
chr10	10757576	-0.1154	0.3984	0.752151706	chr10_10757576
chr10	107740	-0.05657	0.6782	0.909630506	chr10_107740
chr10	107785	-0.5505	0.6419	0.2633772	chr10_107785
chr10	10803964	-0.2227	0.3354	0.480929245	chr10_10803964
chr10	10804025	-0.03557	0.3361	0.91053124	chr10_10804025
chr10	1081195	0.687	0.6556	0.165215836	chr10_1081195
chr10	1081223	0.3106	0.5735	0.508540395	chr10_1081223
chr10	1081283	0.1543	0.4907	0.718185993	chr10_1081283
chr10	1081285	0.9741	0.6803	0.050747106	chr10_1081285
chr10	10814276	0.0149	0.4132	0.968413198	chr10_10814276
chr10	1081614	0.542	0.6989	0.278236783	chr10_1081614
chr10	1081624	0.1053	0.5468	0.818087656	chr10_1081624
chr10	1081627	0.0371	0.634	0.939682427	chr10_1081627
